Sentence with a santhi error,Error corrected sentence
கருநீல கயிறு ,கருநீலக் கயிறு 
நீல கயிறு ,நீலக் கயிறு 
பச்சை கயிறு ,பச்சைக் கயிறு 
மஞ்ச கயிறு ,மஞ்சக் கயிறு 
செம்மஞ்ச கயிறு ,செம்மஞ்சக் கயிறு 
சிவப்பு கயிறு ,சிவப்புக் கயிறு 
சிகப்பு கயிறு ,சிகப்புக் கயிறு 
கறுப்பு கயிறு ,கறுப்புக் கயிறு 
கருப்பு கயிறு ,கருப்புக் கயிறு 
வெள்ளை கயிறு ,வெள்ளைக் கயிறு 
பழுப்பு கயிறு ,பழுப்புக் கயிறு 
ஊதா கயிறு ,ஊதாக் கயிறு 
இளஞ்சிவப்பு கயிறு,இளஞ்சிவப்புக் கயிறு 
வெள்ளி கயிறு,வெள்ளிக் கயிறு 
நீல ஊதா கயிறு,நீல ஊதாக் கயிறு 
கருஞ்சிவப்பு கயிறு,கருஞ்சிவப்புக் கயிறு 
கரும்பச்சை கயிறு,கரும்பச்சைக் கயிறு 
காக்கி கயிறு,காக்கிக் கயிறு 
தங்க கயிறு,தங்கக் கயிறு 
வெளிர் நீல கயிறு,வெளிர் நீலக் கயிறு 
வெளிர்மஞ்ச கயிறு,வெளிர்மஞ்சக் கயிறு 
இளம்பச்சை கயிறு,இளம்பச்சைக் கயிறு 
வெளிர் பச்சை கயிறு,வெளிர் பச்சைக் கயிறு 
காவி கயிறு ,காவிக் கயிறு 
கருநீல கயிற்றை இழு ,கருநீலக் கயிற்றை இழு 
நீல கயிற்றை இழு ,நீலக் கயிற்றை இழு 
பச்சை கயிற்றை இழு ,பச்சைக் கயிற்றை இழு 
மஞ்ச கயிற்றை இழு ,மஞ்சக் கயிற்றை இழு 
செம்மஞ்ச கயிற்றை இழு ,செம்மஞ்சக் கயிற்றை இழு 
சிவப்பு கயிற்றை இழு ,சிவப்புக் கயிற்றை இழு 
சிகப்பு கயிற்றை இழு ,சிகப்புக் கயிற்றை இழு 
கறுப்பு கயிற்றை இழு ,கறுப்புக்கயிற்றை இழு 
கருப்பு கயிற்றை இழு ,கருப்புக் கயிற்றை இழு 
வெள்ளை கயிற்றை இழு ,வெள்ளைக் கயிற்றை இழு 
பழுப்பு கயிற்றை இழு ,பழுப்புக் கயிற்றை இழு 
ஊதா கயிற்றை இழு ,ஊதாக் கயிற்றை இழு 
இளஞ்சிவப்பு கயிற்றை இழு ,இளஞ்சிவப்புக் கயிற்றை இழு 
வெள்ளி கயிற்றை இழு ,வெள்ளிக் கயிற்றை இழு 
நீல ஊதா கயிற்றை இழு ,நீல ஊதாக் கயிற்றை இழு 
கருஞ்சிவப்பு கயிற்றை இழு ,கருஞ்சிவப்புக் கயிற்றை இழு 
கரும்பச்சை கயிற்றை இழு ,கரும்பச்சைக் கயிற்றை இழு 
காக்கி கயிற்றை இழு ,காக்கிக் கயிற்றை இழு 
தங்க கயிற்றை இழு ,தங்கக் கயிற்றை இழு 
வெளிர் நீல கயிற்றை இழு ,வெளிர் நீலக் கயிற்றை இழு 
வெளிர்மஞ்ச கயிற்றை இழு ,வெளிர்மஞ்சக் கயிற்றை இழு 
இளம்பச்சை கயிற்றை இழு ,இளம்பச்சைக் கயிற்றை இழு 
வெளிர் பச்சை கயிற்றை இழு ,வெளிர் பச்சைக் கயிற்றை இழு 
காவி கயிற்றை இழு ,காவிக் கயிற்றை இழு 
கருப்பு கரடி ,கருப்புக் கரடி 
கறுப்பு கரடி ,கறுப்புக் கரடி 
வெள்ளை கரடி ,வெள்ளைக் கரடி 
கருநீல கரண்டி,கருநீலக் கரண்டி
நீல கரண்டி,நீலக் கரண்டி
பச்சை கரண்டி,பச்சைக் கரண்டி
மஞ்ச கரண்டி,மஞ்சக் கரண்டி
செம்மஞ்ச கரண்டி,செம்மஞ்சக் கரண்டி
சிவப்பு கரண்டி,சிவப்புக் கரண்டி
சிகப்பு கரண்டி,சிகப்புக் கரண்டி
கறுப்பு கரண்டி,கறுப்புக் கரண்டி
கருப்பு கரண்டி,கருப்புக் கரண்டி
வெள்ளை கரண்டி,வெள்ளைக் கரண்டி
பழுப்பு கரண்டி,பழுப்புக் கரண்டி
ஊதா கரண்டி,ஊதாக் கரண்டி
இளஞ்சிவப்பு கரண்டி,இளஞ்சிவப்புக் கரண்டி
வெள்ளி கரண்டி,வெள்ளிக் கரண்டி
நீல ஊதா கரண்டி,நீல ஊதாக் கரண்டி
கருஞ்சிவப்பு கரண்டி,கருஞ்சிவப்புக் கரண்டி
கரும்பச்சை கரண்டி,கரும்பச்சைக் கரண்டி
காக்கி கரண்டி,காக்கிக் கரண்டி
தங்க கரண்டி,தங்கக் கரண்டி
வெளிர் நீல கரண்டி,வெளிர் நீலக் கரண்டி
வெளிர்மஞ்ச கரண்டி,வெளிர்மஞ்சக் கரண்டி
இளம்பச்சை கரண்டி,இளம்பச்சைக் கரண்டி
வெளிர் பச்சை கரண்டி,வெளிர் பச்சைக் கரண்டி
காவி கரண்டி ,காவிக் கரண்டி 
கருநீல கால்,கருநீலக் கால்
நீல கால்,நீலக் கால்
பச்சை கால்,பச்சைக் கால்
மஞ்ச கால்,மஞ்சக் கால்
செம்மஞ்ச கால்,செம்மஞ்சக் கால்
சிவப்பு கால்,சிவப்புக் கால்
சிகப்பு கால்,சிகப்புக் கால்
